parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,target
11104527,1.0,,,3.0,4.0,,8.0,3.0,,,2540.0,2540.0,,,,,6037.0,,3.0,,,,2.0,34434971.0,-118464390.0,10384.0,1.0,,,,1.0,0101,261.0,SCUR2,60379200.341014,54311.0,3101.0,37739.0,96374.0,0.0,,,,1.0,,,1999.0,,,271715.0,430108.0,2016.0,158393.0,6103.36,,,60379200341014.0,0.00596316874192
13984101,,,,0.0,0.0,,,,,,2482.0,,,,,2482.0,6059.0,,,,,,,33454921.0,-117660142.0,5431.0,,,,,,38,246.0,,60590422.01501,,1286.0,,96956.0,0.0,,,,2.0,,,1973.0,2.0,,161671.0,471590.0,2016.0,309919.0,6151.38,,,60590422015010.0,-0.147996748656
14705431,,,,2.5,3.0,,,2.5,,,1337.0,1337.0,,,,,6059.0,,2.0,1.0,0.0,,,33663700.0,-117997000.0,9999.0,,,,,,34,266.0,,60590993.064001,25218.0,1286.0,,96966.0,0.0,,1.0,,,,,1989.0,,,118037.0,582011.0,2016.0,463974.0,6675.04,,,60590993064001.0,-0.0288351663172
13944538,13.0,,,2.5,3.0,,,2.5,,,1340.0,1340.0,,,,,6059.0,1.0,2.0,2.0,420.0,,,33771438.0,-117982834.0,1199.0,,,,,,122,261.0,,60590888.014006,24832.0,1286.0,,97051.0,6.0,,1.0,,,,,1980.0,2.0,,96617.0,319668.0,2016.0,223051.0,4078.08,,,60590888014006.0,0.045601700298
14731691,,,,2.0,2.0,,,2.0,,,970.0,970.0,,,,,6059.0,,2.0,1.0,0.0,,,33715600.0,-117926000.0,,,,,,,34,266.0,,60590992.293006,8384.0,1286.0,,97008.0,0.0,,,,,,,1989.0,,,117063.0,132425.0,2016.0,15362.0,1771.34,,,60590992293006.0,-0.00893477698563
17110996,,,,2.5,3.0,,,2.5,,632.0,1371.0,1371.0,,,632.0,,6111.0,,2.0,2.0,447.0,,,34238229.0,-119170633.0,3445.0,,,,,,1111,261.0,,61110050.041163,13150.0,2061.0,,97107.0,5.0,,1.0,,,,,2004.0,2.0,,99026.0,198054.0,2016.0,99028.0,2204.84,,,61110050041163.0,0.00866889626652
14375300,13.0,,,2.0,4.0,,,2.0,,,1677.0,1677.0,,,,,6059.0,,2.0,2.0,420.0,,,33642800.0,-117707211.0,5304.0,,,,,,122,261.0,,60590524.081002,32380.0,1286.0,,96962.0,8.0,,,,,,,1981.0,1.0,,169118.0,528847.0,2016.0,359729.0,5496.44,,,60590524081002.0,-0.0218960155345
12045625,1.0,,,3.0,3.0,,8.0,3.0,,,1435.0,1435.0,,,,,6037.0,,3.0,,,,2.0,34212400.0,-118238000.0,45171.0,,,,,,010C,266.0,GLR3*,60373006.003007,45457.0,3101.0,274582.0,96275.0,0.0,,,,1.0,,,1981.0,,,169727.0,259197.0,2016.0,89470.0,2831.48,,,60373006003007.0,-0.0171668373659
11830315,,,,1.0,2.0,,4.0,1.0,,,1146.0,1146.0,,,,,6037.0,,1.0,,,,7.0,34024040.0,-118159090.0,4657.0,,,,,,0100,261.0,LCR2YY,60375316.041001,17882.0,3101.0,,96003.0,0.0,,,,1.0,,,1939.0,,,127960.0,273745.0,2016.0,145785.0,3739.02,,,60375316041001.0,-0.0350845936968
14730402,,,,2.0,2.0,,,2.0,,,916.0,916.0,,,,,6059.0,,2.0,1.0,0.0,,,33660200.0,-117646000.0,,,,,,,34,266.0,,60590320.471002,,1286.0,,96962.0,0.0,,,,,,,1980.0,,,74936.0,245910.0,2016.0,170974.0,2548.58,Y,15.0,60590320471001.0,-0.0120406644114
12325145,1.0,,,2.0,3.0,,6.0,2.0,,,1092.0,1092.0,,,,,6037.0,,2.0,,,,2.0,33897676.0,-118169106.0,36005.0,,,,,,010C,266.0,PARM*,60375536.011007,6395.0,3101.0,,96220.0,0.0,,,,1.0,,,1979.0,,,140581.0,178646.0,2016.0,38065.0,2391.69,Y,15.0,60375536011007.0,0.0424628971508
14387959,,,,2.5,3.0,,,2.5,,,2074.0,2074.0,,,,,6059.0,1.0,2.0,2.0,485.0,,,33586693.0,-117697202.0,5600.0,,,,,,122,261.0,,60590423.273002,25458.0,1286.0,,96971.0,7.0,,1.0,,,,,1978.0,2.0,,173269.0,597213.0,2016.0,423944.0,6172.28,,,60590423273002.0,-0.00665330931151
14349322,,,,2.5,3.0,,,2.5,,,2018.0,2018.0,,,,,6059.0,,2.0,2.0,446.0,,,33728985.0,-117754647.0,2800.0,,,,,,122,261.0,,60590524.2011,52650.0,1286.0,274815.0,96954.0,0.0,,1.0,,,,,1998.0,,,221433.0,534612.0,2016.0,313179.0,7141.56,,,60590524201100.0,0.0443090295663
11706737,,,,1.0,2.0,,5.0,1.0,,,1316.0,1316.0,,,,,6037.0,,1.0,,,,,34009471.0,-118281052.0,5091.0,,,,,,0100,261.0,LAC2,60372317.202003,12447.0,3101.0,268496.0,96018.0,0.0,,,,1.0,,,1908.0,,,37663.0,171838.0,2016.0,134175.0,2220.23,Y,14.0,60372317202003.0,-0.120975872099
11671335,1.0,,,3.0,2.0,,9.0,3.0,,,2126.0,2126.0,,,,,6037.0,,3.0,,,,2.0,34074859.0,-118563050.0,221601.0,,,,,,010C,266.0,LARD3,60372626.011002,12447.0,3101.0,19810.0,96120.0,0.0,,,,1.0,,,1983.0,,,276641.0,573247.0,2016.0,296606.0,6964.34,,,60372626011002.0,-0.000545671997362
12531488,,,,1.0,3.0,,4.0,1.0,,,1641.0,1641.0,,,,,6037.0,,1.0,,,,7.0,33760954.0,-118123592.0,5302.0,,,,,,0100,261.0,LBR1S,60375776.035014,46298.0,3101.0,416316.0,96237.0,0.0,,,,1.0,,,1944.0,,,98038.0,432754.0,2016.0,334716.0,5212.75,,,60375776035014.0,0.0420412615287
14314879,,,,4.5,6.0,,,4.5,,,3870.0,3870.0,,,,,6059.0,2.0,4.0,3.0,720.0,,,33609965.0,-117850693.0,10050.0,1.0,,,,1.0,122,261.0,,60590626.444017,53571.0,1286.0,28119.0,96957.0,11.0,,1.0,,,,,1972.0,2.0,,298263.0,2040000.0,2016.0,1741737.0,21758.26,,,60590626444017.0,-0.00147568894052
11130689,1.0,,,2.0,3.0,,6.0,2.0,,,1538.0,1538.0,,,,,6037.0,,2.0,,,,2.0,34375142.0,-118559779.0,5997.0,,,,,,0100,261.0,SCUR2,60379203.132,54311.0,3101.0,26134.0,96352.0,0.0,,,,1.0,,,1972.0,,,222238.0,401399.0,2016.0,179161.0,5438.41,,,60379203132000.0,0.0201101819685
12036177,,,,2.0,3.0,,4.0,2.0,,,1851.0,1851.0,,,,,6037.0,,2.0,,,,7.0,34103373.0,-118293280.0,6714.0,,,,,,0100,261.0,LARD1.5,60371892.012001,12447.0,3101.0,274359.0,96008.0,0.0,,,,1.0,,,1920.0,,,32264.0,85035.0,2016.0,52771.0,1232.08,,,60371892012001.0,0.206469869883
14333888,,,,3.0,2.0,,,3.0,,,3230.0,3230.0,,,,,6059.0,,3.0,3.0,744.0,,,33760091.0,-117789669.0,18200.0,1.0,,,,1.0,122,261.0,,60590756.063008,40081.0,1286.0,,97005.0,8.0,,,,,,,1967.0,1.0,,315683.0,954106.0,2016.0,638423.0,10696.14,,,60590756063008.0,-0.0253921179041
12713253,,,,3.0,4.0,,8.0,3.0,,,2447.0,2447.0,,,,,6037.0,,3.0,,,,2.0,33770258.0,-118363785.0,7911.0,1.0,,,,1.0,0101,261.0,RPRS10000*,60376704.031017,54053.0,3101.0,,96122.0,0.0,,,,1.0,,,1967.0,,,320000.0,1083000.0,2016.0,763000.0,12371.76,,,60376704031017.0,0.0218525064866
14338242,,,,2.5,4.0,,,2.5,,,1987.0,1987.0,,,,,6059.0,,2.0,2.0,448.0,True,,33794052.0,-117769536.0,3600.0,,,1.0,,,122,261.0,,60590756.052002,33252.0,1286.0,,97067.0,0.0,,1.0,,,,,1989.0,,,197651.0,703127.0,2016.0,505476.0,8287.36,,,60590756052002.0,-0.0195456000157
11680471,,,,3.0,3.0,,,3.0,,,3641.0,3641.0,,,,,6037.0,,3.0,,,,2.0,34077252.0,-118663270.0,183383.0,1.0,,,,1.0,0101,261.0,LCA11*,60378001.023057,12520.0,3101.0,,96116.0,0.0,,,,1.0,,,1980.0,,,833933.0,1444248.0,2016.0,610315.0,16542.97,,,60378001023057.0,0.00432834072817
12155445,,,,4.0,5.0,,7.0,4.0,,,3572.0,3572.0,,,,,6037.0,,4.0,,,,2.0,34209748.0,-118190041.0,20148.0,1.0,,,,1.0,0101,261.0,LFR120000*,60374605.013014,46080.0,3101.0,,96271.0,0.0,,,,1.0,,,1967.0,,,678493.0,1473080.0,2016.0,794587.0,17643.27,,,60374605013014.0,-0.0408065604865
14736723,,,,1.0,1.0,,,1.0,,,630.0,630.0,,,,,6059.0,,1.0,1.0,0.0,,,33683491.0,-117651587.0,1819.0,,,,,,34,266.0,,60590524.272002,32380.0,1286.0,,96946.0,0.0,,,,,,,1992.0,,,87040.0,183187.0,2016.0,96147.0,2236.6,,,60590524272002.0,-0.0188619524279
10891778,1.0,,,3.0,2.0,,7.0,3.0,,,1480.0,1480.0,,,,,6037.0,,3.0,,,,2.0,34174800.0,-118383000.0,,,,,,,012C,266.0,LAR3,60371241.022002,12447.0,3101.0,46795.0,96446.0,0.0,,,,1.0,,,2009.0,,,173161.0,367967.0,2016.0,194806.0,4499.16,,,60371241022002.0,-0.00252049264204
14344863,,,,2.5,4.0,,,2.5,,,1979.0,1979.0,,,,,6059.0,1.0,2.0,2.0,446.0,,,33713632.0,-117765112.0,3936.0,,,,,,122,261.0,,60590525.253,52650.0,1286.0,276486.0,96954.0,8.0,,1.0,,,,,1977.0,2.0,,140369.0,800017.0,2016.0,659648.0,8138.06,,,60590525253000.0,-0.00485516138306
11682477,,,,0.0,0.0,,,,,,,,,,,,6037.0,,,,,,,34045737.0,-118740777.0,6430.0,,,,,,010V,260.0,LCA11*,60378004.101046,12520.0,3101.0,,96116.0,0.0,,,,,,,,,,400000.0,1300000.0,2016.0,900000.0,15311.27,,,60378004101046.0,0.0262082185921
10852826,1.0,,,3.0,3.0,,7.0,3.0,,,2637.0,2637.0,,,,,6037.0,,3.0,,,,2.0,34164701.0,-118500753.0,8968.0,1.0,,,,1.0,0101,261.0,LARE9,60371396.002007,12447.0,3101.0,51906.0,96349.0,0.0,,,,1.0,,,1952.0,,,166645.0,833227.0,2016.0,666582.0,10149.06,,,60371396002007.0,-0.0243392652248
14703637,,,,2.5,2.0,,,2.5,,,1024.0,1024.0,,,,,6059.0,,2.0,1.0,0.0,,,33516700.0,-117721000.0,,,,,,,1,266.0,,60590423.252001,25459.0,1286.0,,96987.0,0.0,,1.0,,,,,1989.0,,,155000.0,418000.0,2016.0,263000.0,4244.64,,,60590423252001.0,-0.023185408442
13891704,,,,1.0,2.0,,,1.0,,,624.0,,,,,624.0,6059.0,,1.0,,,,,33606810.0,-117895719.0,2615.0,,,,,,38,246.0,,60590630.061003,53571.0,1286.0,,96980.0,3.0,,,,2.0,,,1951.0,1.0,,74653.0,1825117.0,2016.0,1750464.0,19638.8,,,60590630061003.0,0.00480989557126
10871883,,,,2.0,5.0,,6.0,2.0,,,1818.0,1818.0,,,,,6037.0,,2.0,,,,2.0,34209855.0,-118416304.0,7499.0,1.0,,,,1.0,0101,261.0,LAR1,60371220.002007,12447.0,3101.0,41131.0,96450.0,0.0,,,,1.0,,,1948.0,,,101968.0,166428.0,2016.0,64460.0,2196.73,,,60371220002007.0,0.0505559185742
10900115,1.0,,,3.0,4.0,,6.0,3.0,,,3160.0,3160.0,,,,,6037.0,,3.0,,,,2.0,34155840.0,-118375588.0,16506.0,,,,,,0100,261.0,LAR1,60371254.022013,12447.0,3101.0,46795.0,96447.0,0.0,,,,1.0,,,1941.0,,,284498.0,691816.0,2016.0,407318.0,8451.5,,,60371254022013.0,0.0109018162244
11737342,,,,2.0,2.0,,6.0,2.0,,,1529.0,1529.0,,,,,6037.0,,2.0,,,,7.0,34043198.0,-118355618.0,3640.0,,,,,,0100,261.0,LARD1.5,60372183.004002,12447.0,3101.0,274514.0,96000.0,0.0,,,,1.0,,,1928.0,,,167633.0,657099.0,2016.0,489466.0,7999.31,,,60372183004002.0,-0.134761561915
12106936,,,,2.0,3.0,,6.0,2.0,,,1447.0,1447.0,,,,,6037.0,,2.0,,,,7.0,34166370.0,-118151336.0,7283.0,,,,,,0100,261.0,PSR*,60374616.001002,47019.0,3101.0,274695.0,96291.0,0.0,,,,1.0,,,1901.0,,,57734.0,70755.0,2016.0,13021.0,1050.39,,,60374616001002.0,0.0751562163772
12105191,1.0,,,2.0,2.0,,6.0,2.0,,,829.0,829.0,,,,,6037.0,,2.0,,,,2.0,34158500.0,-118143000.0,16378.0,,,,,,010C,266.0,PSR3,60374620.012006,47019.0,3101.0,274695.0,96292.0,0.0,,,,1.0,,,1991.0,,,133200.0,276147.0,2016.0,142947.0,3309.81,,,60374620012006.0,0.0827335176415
11740609,1.0,,,3.0,2.0,,7.0,3.0,,,1110.0,1110.0,,,,,6037.0,,3.0,,,,2.0,34048900.0,-118369000.0,8500.0,,,,,,010C,266.0,LAR3,60372167.001007,12447.0,3101.0,275024.0,96016.0,0.0,,,,1.0,,,2006.0,,,450000.0,563000.0,2016.0,113000.0,6727.01,,,60372167001007.0,0.0542028204623
11405344,,,,1.0,3.0,,5.0,1.0,,,872.0,872.0,,,,,6037.0,,1.0,,,,,33955053.0,-118344280.0,5566.0,,,,,,0100,261.0,INP1YY,60376010.021008,45888.0,3101.0,,96133.0,0.0,,,,1.0,,,1922.0,,,62986.0,248916.0,2016.0,185930.0,3557.65,,,60376010021008.0,-0.0142800095935
13043344,1.0,,,5.0,4.0,,10.0,5.0,,,5492.0,5492.0,,,,,6037.0,,5.0,,,,2.0,34144603.0,-117818513.0,67316.0,1.0,,,,1.0,0103,261.0,GDRHR,60374004.021001,11626.0,3101.0,,96486.0,0.0,,,,1.0,,,2006.0,,,1177804.0,1814004.0,2016.0,636200.0,20454.76,,,60374004021001.0,-0.259447659215
11036179,,,,3.0,4.0,,6.0,3.0,,,2317.0,2317.0,,,,,6037.0,,3.0,,,,7.0,34247194.0,-118443255.0,8703.0,1.0,,,,1.0,0101,261.0,LAR1,60371192.013006,12447.0,3101.0,268002.0,96361.0,0.0,,,,1.0,,,1953.0,,,124140.0,309821.0,2016.0,185681.0,3896.48,,,60371192013006.0,0.0197007464577
14455676,,,,5.0,4.0,,,5.0,,,4468.0,4468.0,,,,,6059.0,,4.0,2.0,704.0,,,33475575.0,-117593484.0,7900.0,,,,,,1,261.0,,60590320.231021,13693.0,1286.0,,96983.0,0.0,,2.0,,,,,2007.0,,,870000.0,1279000.0,2016.0,409000.0,19822.16,,,60590320231021.0,0.0423363980588
13038483,1.0,,,2.0,2.0,,8.0,2.0,,,1660.0,1660.0,,,,,6037.0,,2.0,,,,2.0,34141077.0,-117859093.0,1224.0,,,,,,010D,269.0,GDR_GA_PD,60374010.022032,11626.0,3101.0,,96486.0,0.0,,,,1.0,,,1987.0,,,164721.0,341921.0,2016.0,177200.0,4082.74,,,60374010022032.0,0.0401773121793
14463877,,,,2.5,3.0,,,2.5,,,1734.0,1734.0,,,,,6059.0,,2.0,2.0,465.0,,,33562809.0,-117631225.0,2765.0,,,,,,122,261.0,,60590320.571017,52835.0,1286.0,,96998.0,0.0,,1.0,,,,,2000.0,,,151315.0,638000.0,2016.0,486685.0,9013.36,,,60590320571017.0,0.0457177680939
10828742,,,,2.0,3.0,,8.0,2.0,,,1815.0,1815.0,,,,,6037.0,,2.0,,,,2.0,34205109.0,-118454045.0,10311.0,1.0,,,,1.0,0101,261.0,LARE11,60371272.202001,12447.0,3101.0,41466.0,96414.0,0.0,,,,1.0,,,1958.0,,,60656.0,103293.0,2016.0,42637.0,1498.58,,,60371272202001.0,-0.0695836678049
13022358,,,,1.0,2.0,,5.0,1.0,,,609.0,609.0,,,,,6037.0,,1.0,,,,7.0,34110426.0,-117919759.0,8997.0,,,,,,0100,261.0,LCA105,60374045.011006,37015.0,3101.0,,96464.0,0.0,,,,1.0,,,1948.0,,,56171.0,162320.0,2016.0,106149.0,2251.73,Y,15.0,60374045011006.0,0.102967846242
17153340,,,,3.5,2.0,,,3.5,,4018.0,4018.0,4018.0,,,4018.0,,6111.0,3.0,3.0,2.0,0.0,,,34184029.0,-119228526.0,,,,,,,1129,266.0,,61110036.093023,13150.0,2061.0,762930.0,97106.0,6.0,,1.0,,,,,1991.0,1.0,,522030.0,1044060.0,2016.0,522030.0,12738.54,,,61110036093023.0,-0.0953402135651
11751866,,,,4.0,6.0,,6.0,4.0,,,3435.0,,,3435.0,,,6037.0,,4.0,,,,,34055236.0,-118346239.0,6332.0,,,,,,0200,246.0,LAR2,60372162.002,12447.0,3101.0,274514.0,96000.0,0.0,,,,2.0,,,1928.0,,,211946.0,1118617.0,2016.0,906671.0,13541.94,,,60372162002000.0,-0.079803466793
13007403,1.0,,,3.0,3.0,,8.0,3.0,,,2380.0,2380.0,,,,,6037.0,,3.0,,,,2.0,34104778.0,-118056266.0,9960.0,,,,,,0101,261.0,TCR1*,60374320.004007,14111.0,3101.0,,96517.0,0.0,,,,1.0,,,1991.0,,,355521.0,654279.0,2016.0,298758.0,7676.28,,,60374320004007.0,-0.028718694597
14452416,,,,4.0,4.0,,,4.0,,,3415.0,3415.0,,,,,6059.0,,4.0,2.0,589.0,,,33463484.0,-117591802.0,6185.0,,,,,,122,261.0,,60590320.231034,13693.0,1286.0,,96983.0,0.0,,,,,,,1999.0,,,407542.0,579059.0,2016.0,171517.0,9018.36,,,60590320231034.0,0.0193020922513
14728092,,,,1.0,1.0,,,1.0,,,702.0,702.0,,,,,6059.0,,1.0,1.0,0.0,,,33724500.0,-117918000.0,,,,,,,34,266.0,,60590992.272022,8384.0,1286.0,,97008.0,0.0,,,,,,,1983.0,,,55630.0,258883.0,2016.0,203253.0,3060.92,,,60590992272022.0,-0.0460835741269
14448439,,,,2.0,2.0,,,2.0,,,1367.0,1367.0,,,,,6059.0,,2.0,2.0,504.0,,,33443917.0,-117638959.0,6000.0,,,,,,122,261.0,,60590421.061001,13693.0,1286.0,,96982.0,6.0,,,,,,,2014.0,1.0,,182501.0,815542.0,2016.0,633041.0,8272.94,,,60590421061001.0,0.0149837438442
12464464,,,,2.0,2.0,,7.0,2.0,,,1814.0,1814.0,,,,,6037.0,,2.0,,,,2.0,33833199.0,-118191488.0,5372.0,,,,,,0100,261.0,LBR1L,60375718.001004,46298.0,3101.0,274358.0,96241.0,0.0,,,,1.0,,,1962.0,,,164600.0,310117.0,2016.0,145517.0,3749.29,,,60375718001004.0,-0.0497521134516
12691507,,,,1.0,0.0,,8.0,1.0,,,440.0,440.0,,,,,6037.0,,1.0,,,,7.0,33785200.0,-118342000.0,433845.0,1.0,,,,1.0,010E,266.0,LCR3*,60376702.012012,,3101.0,,96121.0,0.0,,,,1.0,,,1973.0,,,81400.0,260000.0,2016.0,178600.0,3482.62,,,60376702012012.0,0.0698577884216
12840475,,,,1.0,2.0,,4.0,1.0,,,928.0,928.0,,,,,6037.0,,1.0,,,,7.0,34049695.0,-117936204.0,13360.0,,,,,,0100,261.0,LCA11L,60374075.023,118694.0,3101.0,,96488.0,0.0,,,,1.0,,,1948.0,,,98550.0,241624.0,2016.0,143074.0,3083.24,,,60374075023000.0,0.0554212418459
14607408,,,,1.0,1.0,,,1.0,,,745.0,745.0,,,,,6059.0,,1.0,2.0,0.0,,,33780300.0,-117942000.0,,,,,,,34,266.0,,60590886.012,24832.0,1286.0,,97047.0,0.0,,,,,,,1983.0,,,55478.0,227309.0,2016.0,171831.0,2905.58,,,60590886012000.0,0.0154839229065
13091973,1.0,,,2.0,3.0,,8.0,2.0,,,1463.0,1463.0,,,,,6037.0,,2.0,,,,2.0,34023488.0,-117884178.0,12113.0,,,,,,0100,261.0,WARPD14800,60374034.083012,34636.0,3101.0,,96522.0,0.0,,,,1.0,,,1984.0,,,166425.0,200726.0,2016.0,34301.0,3015.21,,,60374034083012.0,-0.00565679225523
14432426,,,,2.0,3.0,,,2.0,,,1481.0,1481.0,,,,,6059.0,1.0,2.0,2.0,452.0,,,33479611.0,-117688280.0,10112.0,,,,,,122,261.0,,60590423.114001,17686.0,1286.0,,96961.0,6.0,,,,,,,1962.0,1.0,,98445.0,606645.0,2016.0,508200.0,6760.54,,,60590423114001.0,-0.0260646716667
11016518,,,,2.0,4.0,,8.0,2.0,,,1625.0,1625.0,,,,,6037.0,,2.0,,,,2.0,34282275.0,-118492692.0,8427.0,,,,,,0100,261.0,LARS,60371066.461002,12447.0,3101.0,31817.0,96370.0,0.0,,,,1.0,,,1956.0,,,54667.0,97097.0,2016.0,42430.0,1307.93,,,60371066461002.0,-0.0604697527393
14434171,,,,6.5,5.0,,,6.5,,,9586.0,9586.0,,,,,6059.0,,6.0,4.0,1114.0,True,,33496171.0,-117699380.0,30000.0,1.0,,,1.0,,122,261.0,,60590423.322002,25459.0,1286.0,,96987.0,0.0,,1.0,,,,,1992.0,,,1708622.0,3624442.0,2016.0,1915820.0,38491.98,,,60590423322002.0,0.0639567544082
11782783,1.0,,,3.0,3.0,,,3.0,,,1820.0,1820.0,,,,,6037.0,,3.0,,,,2.0,34053100.0,-118266000.0,71332.0,1.0,,,,1.0,010C,266.0,LACW,60372091.022007,12447.0,3101.0,276023.0,95998.0,0.0,,,,1.0,,,2006.0,,,571105.0,853937.0,2016.0,282832.0,10296.58,,,60372091022007.0,0.0290645492171
11018202,,,,1.0,2.0,,4.0,1.0,,,812.0,812.0,,,,,6037.0,,1.0,,,,7.0,34276431.0,-118447368.0,7150.0,,,,,,0100,261.0,LAR1,60371095.003018,12447.0,3101.0,116646.0,96366.0,0.0,,,,1.0,,,1917.0,,,21513.0,40746.0,2016.0,19233.0,668.7,,,60371095003018.0,0.0212624578466
